Starting pre-training...
Pre-training Epoch 0:   0%|          | 0/367 [00:00<?, ?it/s]Pre-training Epoch 0:   0%|          | 1/367 [00:00<02:29,  2.44it/s]Pre-training Epoch 0:   5%|▍         | 18/367 [00:00<00:07, 45.64it/s]Pre-training Epoch 0:  10%|▉         | 36/367 [00:00<00:04, 81.38it/s]Pre-training Epoch 0:  15%|█▍        | 54/367 [00:00<00:02, 107.57it/s]Pre-training Epoch 0:  20%|█▉        | 72/367 [00:00<00:02, 127.71it/s]Pre-training Epoch 0:  25%|██▍       | 91/367 [00:00<00:01, 143.40it/s]Pre-training Epoch 0:  30%|██▉       | 109/367 [00:01<00:01, 152.88it/s]Pre-training Epoch 0:  35%|███▍      | 127/367 [00:01<00:01, 159.90it/s]recon_loss: 0.6796653270721436, dist_loss: 1.7857962846755981
recon_loss: 0.6765533089637756, dist_loss: 1.303330659866333
recon_loss: 0.4811680018901825, dist_loss: 0.9456057548522949
recon_loss: 0.4766979217529297, dist_loss: 1.4665281772613525
recon_loss: 0.47219952940940857, dist_loss: 2.379937171936035
recon_loss: 0.46767401695251465, dist_loss: 1.3644864559173584
recon_loss: 0.46312224864959717, dist_loss: 1.4940941333770752
recon_loss: 0.4585455358028412, dist_loss: 1.863350510597229
recon_loss: 0.4539450705051422, dist_loss: 1.5692262649536133
recon_loss: 0.4493218958377838, dist_loss: 2.3635706901550293
recon_loss: 0.4446769058704376, dist_loss: 1.5647163391113281
recon_loss: 0.4400117099285126, dist_loss: 1.4050109386444092
recon_loss: 0.43532752990722656, dist_loss: 2.0175468921661377
recon_loss: 0.4306260049343109, dist_loss: 1.4436509609222412
recon_loss: 0.4259084165096283, dist_loss: 1.5258543491363525
recon_loss: 0.4211762547492981, dist_loss: 1.332668423652649
recon_loss: 0.4164307713508606, dist_loss: 2.1647891998291016
recon_loss: 0.4116736948490143, dist_loss: 1.9566923379898071
recon_loss: 0.4069065749645233, dist_loss: 1.1084582805633545
recon_loss: 0.40213078260421753, dist_loss: 1.3171998262405396
recon_loss: 0.3973480761051178, dist_loss: 1.8016395568847656
recon_loss: 0.3925600051879883, dist_loss: 1.5251457691192627
recon_loss: 0.3877679109573364, dist_loss: 1.6288816928863525
recon_loss: 0.3829733729362488, dist_loss: 1.3088202476501465
recon_loss: 0.3781781494617462, dist_loss: 1.6073567867279053
recon_loss: 0.37338411808013916, dist_loss: 1.1460025310516357
recon_loss: 0.36859312653541565, dist_loss: 1.4811511039733887
recon_loss: 0.36380693316459656, dist_loss: 1.7090840339660645
recon_loss: 0.35902711749076843, dist_loss: 1.0206453800201416
recon_loss: 0.35425570607185364, dist_loss: 1.4979732036590576
recon_loss: 0.3494943678379059, dist_loss: 1.9500181674957275
recon_loss: 0.3447451889514923, dist_loss: 1.911391019821167
recon_loss: 0.3400099277496338, dist_loss: 1.9907170534133911
recon_loss: 0.3352903425693512, dist_loss: 1.0817030668258667
recon_loss: 0.33058837056159973, dist_loss: 1.6451730728149414
recon_loss: 0.325905442237854, dist_loss: 1.4366662502288818
recon_loss: 0.321243554353714, dist_loss: 1.5498158931732178
recon_loss: 0.3166045844554901, dist_loss: 1.2231523990631104
recon_loss: 0.311990350484848, dist_loss: 1.5329346656799316
recon_loss: 0.30740228295326233, dist_loss: 1.1586337089538574
recon_loss: 0.30284225940704346, dist_loss: 1.1071460247039795
recon_loss: 0.2983117699623108, dist_loss: 1.0837421417236328
recon_loss: 0.29381221532821655, dist_loss: 1.2296940088272095
recon_loss: 0.28934526443481445, dist_loss: 1.4401659965515137
recon_loss: 0.2849125266075134, dist_loss: 1.674177885055542
recon_loss: 0.28051528334617615, dist_loss: 1.9910781383514404
recon_loss: 0.2761552035808563, dist_loss: 1.650926113128662
recon_loss: 0.2718336880207062, dist_loss: 1.370347261428833
recon_loss: 0.2675519287586212, dist_loss: 1.5578221082687378
recon_loss: 0.26331138610839844, dist_loss: 1.5214173793792725
recon_loss: 0.25911298394203186, dist_loss: 1.9527826309204102
recon_loss: 0.254957914352417, dist_loss: 1.0866386890411377
recon_loss: 0.2508474290370941, dist_loss: 1.4096102714538574
recon_loss: 0.24678249657154083, dist_loss: 1.2481801509857178
recon_loss: 0.24276413023471832, dist_loss: 1.5001949071884155
recon_loss: 0.23879334330558777, dist_loss: 1.7008438110351562
recon_loss: 0.2348710596561432, dist_loss: 1.404834270477295
recon_loss: 0.23099778592586517, dist_loss: 2.2146475315093994
recon_loss: 0.2271745204925537, dist_loss: 2.1413397789001465
recon_loss: 0.22340194880962372, dist_loss: 1.3171852827072144
recon_loss: 0.21968069672584534, dist_loss: 1.7008572816848755
recon_loss: 0.21601134538650513, dist_loss: 2.3121094703674316
recon_loss: 0.21239463984966278, dist_loss: 1.9642595052719116
recon_loss: 0.20883092284202576, dist_loss: 2.398550033569336
recon_loss: 0.20532068610191345, dist_loss: 1.5343480110168457
recon_loss: 0.2018646001815796, dist_loss: 1.269149899482727
recon_loss: 0.19846291840076447, dist_loss: 2.1987504959106445
recon_loss: 0.1951155811548233, dist_loss: 1.4823689460754395
recon_loss: 0.19182312488555908, dist_loss: 1.9967811107635498
recon_loss: 0.18858571350574493, dist_loss: 0.8935389518737793
recon_loss: 0.18540354073047638, dist_loss: 2.0214366912841797
recon_loss: 0.18227648735046387, dist_loss: 1.5964512825012207
recon_loss: 0.17920462787151337, dist_loss: 1.2163968086242676
recon_loss: 0.17618806660175323, dist_loss: 1.8586052656173706
recon_loss: 0.17322678864002228, dist_loss: 0.8329647779464722
recon_loss: 0.17032068967819214, dist_loss: 1.6822311878204346
recon_loss: 0.16746942698955536, dist_loss: 1.6658883094787598
recon_loss: 0.16467291116714478, dist_loss: 0.9193718433380127
Pre-training Epoch 0:  40%|███▉      | 145/367 [00:01<00:01, 164.27it/s]Pre-training Epoch 0:  44%|████▍     | 163/367 [00:01<00:01, 167.64it/s]Pre-training Epoch 0:  49%|████▉     | 181/367 [00:01<00:01, 170.47it/s]Pre-training Epoch 0:  54%|█████▍    | 199/367 [00:01<00:00, 173.03it/s]Pre-training Epoch 0:  59%|█████▉    | 218/367 [00:01<00:00, 175.31it/s]Pre-training Epoch 0:  64%|██████▍   | 236/367 [00:01<00:00, 174.81it/s]Pre-training Epoch 0:  69%|██████▉   | 254/367 [00:01<00:00, 173.11it/s]recon_loss: 0.1619308888912201, dist_loss: 1.397341012954712
recon_loss: 0.15924304723739624, dist_loss: 1.761651873588562
recon_loss: 0.15660881996154785, dist_loss: 1.2754043340682983
recon_loss: 0.15402819216251373, dist_loss: 2.2940003871917725
recon_loss: 0.15150058269500732, dist_loss: 1.7949481010437012
recon_loss: 0.14902551472187042, dist_loss: 1.0038011074066162
recon_loss: 0.14660274982452393, dist_loss: 1.4079344272613525
recon_loss: 0.14423172175884247, dist_loss: 1.76145601272583
recon_loss: 0.14191177487373352, dist_loss: 2.5059096813201904
recon_loss: 0.13964234292507172, dist_loss: 1.2867467403411865
recon_loss: 0.13742263615131378, dist_loss: 1.5625982284545898
recon_loss: 0.13525235652923584, dist_loss: 0.915665864944458
recon_loss: 0.13313080370426178, dist_loss: 0.9919164776802063
recon_loss: 0.13105730712413788, dist_loss: 1.872615098953247
recon_loss: 0.12903086841106415, dist_loss: 1.3799331188201904
recon_loss: 0.12705068290233612, dist_loss: 2.2180309295654297
recon_loss: 0.1251162588596344, dist_loss: 1.9051399230957031
recon_loss: 0.12322685122489929, dist_loss: 1.3424501419067383
recon_loss: 0.12138158082962036, dist_loss: 1.2298026084899902
recon_loss: 0.11957987397909164, dist_loss: 1.2686095237731934
recon_loss: 0.1178208515048027, dist_loss: 1.0238314867019653
recon_loss: 0.11610382795333862, dist_loss: 1.3501229286193848
recon_loss: 0.11442787945270538, dist_loss: 1.8432481288909912
recon_loss: 0.11279217898845673, dist_loss: 1.215583324432373
recon_loss: 0.11119594424962997, dist_loss: 1.556828498840332
recon_loss: 0.1096382811665535, dist_loss: 1.2385468482971191
recon_loss: 0.10811839997768402, dist_loss: 1.5115597248077393
recon_loss: 0.10663554072380066, dist_loss: 2.0494847297668457
recon_loss: 0.10518896579742432, dist_loss: 1.9637386798858643
recon_loss: 0.10377789288759232, dist_loss: 1.128774881362915
recon_loss: 0.10240154713392258, dist_loss: 1.3515843152999878
recon_loss: 0.10105914622545242, dist_loss: 1.7821868658065796
recon_loss: 0.09974983334541321, dist_loss: 1.7499858140945435
recon_loss: 0.09847286343574524, dist_loss: 1.3957006931304932
recon_loss: 0.09722748398780823, dist_loss: 1.227293848991394
recon_loss: 0.09601307660341263, dist_loss: 1.6023797988891602
recon_loss: 0.09482874721288681, dist_loss: 0.7828078866004944
recon_loss: 0.09367392957210541, dist_loss: 0.9777911901473999
recon_loss: 0.09254782646894455, dist_loss: 0.9083355665206909
recon_loss: 0.09144970774650574, dist_loss: 1.2604928016662598
recon_loss: 0.09037888795137405, dist_loss: 1.1507596969604492
recon_loss: 0.08933474868535995, dist_loss: 1.6513442993164062
recon_loss: 0.08831650763750076, dist_loss: 1.2694021463394165
recon_loss: 0.08732348680496216, dist_loss: 1.4406378269195557
recon_loss: 0.08635514974594116, dist_loss: 1.0736656188964844
recon_loss: 0.08541098982095718, dist_loss: 1.1931201219558716
recon_loss: 0.08449040353298187, dist_loss: 1.7151838541030884
recon_loss: 0.08359267562627792, dist_loss: 1.2521229982376099
recon_loss: 0.08271732926368713, dist_loss: 1.2861441373825073
recon_loss: 0.08186375349760056, dist_loss: 1.209815502166748
recon_loss: 0.08103138208389282, dist_loss: 1.069464087486267
recon_loss: 0.08021961152553558, dist_loss: 2.119906425476074
recon_loss: 0.07942800223827362, dist_loss: 1.2982332706451416
recon_loss: 0.07865604758262634, dist_loss: 1.8560819625854492
recon_loss: 0.07790292054414749, dist_loss: 1.6132419109344482
recon_loss: 0.07716847211122513, dist_loss: 1.140428900718689
recon_loss: 0.07645200192928314, dist_loss: 1.597764015197754
recon_loss: 0.07575303316116333, dist_loss: 1.6032524108886719
recon_loss: 0.0750712975859642, dist_loss: 1.8873826265335083
recon_loss: 0.0744062215089798, dist_loss: 1.5798333883285522
recon_loss: 0.07375745475292206, dist_loss: 1.533612847328186
recon_loss: 0.07312442362308502, dist_loss: 1.2901197671890259
recon_loss: 0.07250675559043884, dist_loss: 1.4603935480117798
recon_loss: 0.07190407067537308, dist_loss: 0.9155113697052002
recon_loss: 0.0713159441947937, dist_loss: 0.9917240738868713
recon_loss: 0.07074201107025146, dist_loss: 0.969336986541748
recon_loss: 0.07018184661865234, dist_loss: 1.4815279245376587
recon_loss: 0.06963516026735306, dist_loss: 2.0730557441711426
recon_loss: 0.06910139322280884, dist_loss: 2.0016140937805176
recon_loss: 0.06858022511005402, dist_loss: 1.4573116302490234
recon_loss: 0.0680714026093483, dist_loss: 1.6375994682312012
recon_loss: 0.06757457554340363, dist_loss: 1.1807996034622192
recon_loss: 0.06708946824073792, dist_loss: 1.3144543170928955
recon_loss: 0.06661586463451385, dist_loss: 1.787900447845459
recon_loss: 0.06615336984395981, dist_loss: 1.4111409187316895
recon_loss: 0.06570164114236832, dist_loss: 1.0462654829025269
recon_loss: 0.06526055932044983, dist_loss: 1.318656325340271
recon_loss: 0.0648297369480133, dist_loss: 2.2682876586914062
recon_loss: 0.0644090324640274, dist_loss: 1.3698902130126953
recon_loss: 0.06399805843830109, dist_loss: 1.6442005634307861
recon_loss: 0.0635964646935463, dist_loss: 1.6955845355987549
recon_loss: 0.06320414692163467, dist_loss: 1.3515431880950928
recon_loss: 0.06282076984643936, dist_loss: 1.4591293334960938
recon_loss: 0.06244618073105812, dist_loss: 1.1427973508834839
recon_loss: 0.062080156058073044, dist_loss: 1.4443800449371338
recon_loss: 0.061722539365291595, dist_loss: 1.623488187789917
recon_loss: 0.06137297675013542, dist_loss: 1.6366266012191772
recon_loss: 0.061031464487314224, dist_loss: 1.2063531875610352
recon_loss: 0.06069761514663696, dist_loss: 1.5005004405975342
recon_loss: 0.06037118285894394, dist_loss: 1.9788891077041626
recon_loss: 0.06005198508501053, dist_loss: 1.7009668350219727
recon_loss: 0.059739936143159866, dist_loss: 0.978012204170227
recon_loss: 0.05943480506539345, dist_loss: 1.5012733936309814
recon_loss: 0.05913644656538963, dist_loss: 1.2199602127075195
recon_loss: 0.058844711631536484, dist_loss: 2.0919008255004883
recon_loss: 0.05855932459235191, dist_loss: 0.7837774753570557
recon_loss: 0.05828023701906204, dist_loss: 1.5811166763305664
recon_loss: 0.05800720676779747, dist_loss: 1.442476749420166
recon_loss: 0.057740144431591034, dist_loss: 1.479636311531067
recon_loss: 0.05747894197702408, dist_loss: 1.3589656352996826
recon_loss: 0.05722339451313019, dist_loss: 1.4245731830596924
recon_loss: 0.05697343870997429, dist_loss: 1.4845110177993774
recon_loss: 0.056728851050138474, dist_loss: 1.4451903104782104
recon_loss: 0.05648942291736603, dist_loss: 1.9247181415557861
recon_loss: 0.056255076080560684, dist_loss: 1.2298376560211182
recon_loss: 0.05602573975920677, dist_loss: 1.1161689758300781
recon_loss: 0.05580144375562668, dist_loss: 1.1158678531646729
recon_loss: 0.055581849068403244, dist_loss: 1.468610167503357
recon_loss: 0.055366817861795425, dist_loss: 1.4192793369293213
recon_loss: 0.05515623092651367, dist_loss: 1.087147831916809
recon_loss: 0.05495007708668709, dist_loss: 1.7561695575714111
recon_loss: 0.05474841222167015, dist_loss: 0.8670428395271301
recon_loss: 0.054550983011722565, dist_loss: 1.0089912414550781
recon_loss: 0.05435763671994209, dist_loss: 1.277280330657959
recon_loss: 0.05416829511523247, dist_loss: 1.4698214530944824
recon_loss: 0.05398290231823921, dist_loss: 1.0328571796417236
recon_loss: 0.053801391273736954, dist_loss: 1.7274341583251953
recon_loss: 0.05362359434366226, dist_loss: 2.4628913402557373
recon_loss: 0.053449321538209915, dist_loss: 0.9003041982650757
recon_loss: 0.05327865481376648, dist_loss: 1.5489585399627686
recon_loss: 0.05311153829097748, dist_loss: 1.741952896118164
recon_loss: 0.0529477633535862, dist_loss: 1.2125768661499023
recon_loss: 0.05278730392456055, dist_loss: 1.1671360731124878
recon_loss: 0.052630141377449036, dist_loss: 1.368859887123108
recon_loss: 0.05247621238231659, dist_loss: 1.7752554416656494
recon_loss: 0.052325453609228134, dist_loss: 1.7548199892044067
recon_loss: 0.05217768996953964, dist_loss: 0.7772632241249084
recon_loss: 0.05203289911150932, dist_loss: 1.2592227458953857
recon_loss: 0.05189099535346031, dist_loss: 1.0655641555786133
recon_loss: 0.05175192654132843, dist_loss: 1.9865918159484863
Pre-training Epoch 0:  74%|███████▍  | 272/367 [00:01<00:00, 173.56it/s]Pre-training Epoch 0:  79%|███████▉  | 290/367 [00:02<00:00, 173.85it/s]Pre-training Epoch 0:  84%|████████▍ | 308/367 [00:02<00:00, 173.42it/s]Pre-training Epoch 0:  89%|████████▉ | 326/367 [00:02<00:00, 174.36it/s]Pre-training Epoch 0:  94%|█████████▎| 344/367 [00:02<00:00, 171.63it/s]Pre-training Epoch 0:  99%|█████████▊| 362/367 [00:02<00:00, 143.45it/s]Pre-training Epoch 0: 100%|██████████| 367/367 [00:02<00:00, 142.43it/s]
recon_loss: 0.05161559581756592, dist_loss: 1.124594807624817
recon_loss: 0.051482055336236954, dist_loss: 1.2926924228668213
recon_loss: 0.05135107412934303, dist_loss: 1.4263439178466797
recon_loss: 0.051222749054431915, dist_loss: 1.2771012783050537
recon_loss: 0.05109698325395584, dist_loss: 0.8452510833740234
recon_loss: 0.050973739475011826, dist_loss: 1.3906588554382324
recon_loss: 0.05085300654172897, dist_loss: 0.7580841779708862
recon_loss: 0.050734713673591614, dist_loss: 1.2485822439193726
recon_loss: 0.05061870068311691, dist_loss: 1.2025794982910156
recon_loss: 0.05050491541624069, dist_loss: 1.4901909828186035
recon_loss: 0.050393350422382355, dist_loss: 1.5569229125976562
recon_loss: 0.05028398334980011, dist_loss: 1.3564164638519287
recon_loss: 0.05017678812146187, dist_loss: 0.7209277749061584
recon_loss: 0.05007166042923927, dist_loss: 1.1281754970550537
recon_loss: 0.04996853321790695, dist_loss: 1.1383209228515625
recon_loss: 0.049867402762174606, dist_loss: 1.5265717506408691
recon_loss: 0.04976823180913925, dist_loss: 1.283076286315918
recon_loss: 0.049671005457639694, dist_loss: 1.115709900856018
recon_loss: 0.049575645476579666, dist_loss: 1.0547736883163452
recon_loss: 0.049482136964797974, dist_loss: 1.185836672782898
recon_loss: 0.04939041659235954, dist_loss: 1.9460924863815308
recon_loss: 0.049300529062747955, dist_loss: 1.6149851083755493
recon_loss: 0.04921230673789978, dist_loss: 1.3608996868133545
recon_loss: 0.04912572726607323, dist_loss: 1.0734789371490479
recon_loss: 0.0490407720208168, dist_loss: 1.3863914012908936
recon_loss: 0.048957470804452896, dist_loss: 1.0179837942123413
recon_loss: 0.04887573421001434, dist_loss: 1.183483600616455
recon_loss: 0.04879552125930786, dist_loss: 1.836890697479248
recon_loss: 0.048716843128204346, dist_loss: 1.002744436264038
recon_loss: 0.04863964766263962, dist_loss: 1.3353519439697266
recon_loss: 0.04856389760971069, dist_loss: 1.770937204360962
recon_loss: 0.04848947003483772, dist_loss: 1.625205159187317
recon_loss: 0.048416443169116974, dist_loss: 1.4438260793685913
recon_loss: 0.04834471642971039, dist_loss: 1.4390180110931396
recon_loss: 0.04827429726719856, dist_loss: 0.9685043096542358
recon_loss: 0.04820524528622627, dist_loss: 1.6304287910461426
recon_loss: 0.04813745617866516, dist_loss: 0.9307217597961426
recon_loss: 0.048070911318063736, dist_loss: 1.78648841381073
recon_loss: 0.048005443066358566, dist_loss: 0.7667617201805115
recon_loss: 0.04794123396277428, dist_loss: 1.586822271347046
recon_loss: 0.04787827283143997, dist_loss: 1.077169418334961
recon_loss: 0.047816503793001175, dist_loss: 0.8607164621353149
recon_loss: 0.04775586724281311, dist_loss: 1.3626043796539307
recon_loss: 0.04769638553261757, dist_loss: 1.248507022857666
recon_loss: 0.047638021409511566, dist_loss: 1.2191424369812012
recon_loss: 0.047580718994140625, dist_loss: 1.5314772129058838
recon_loss: 0.047524403780698776, dist_loss: 1.3039369583129883
recon_loss: 0.04746917262673378, dist_loss: 1.6859135627746582
recon_loss: 0.04741493612527847, dist_loss: 1.3661394119262695
recon_loss: 0.04736170545220375, dist_loss: 1.5867682695388794
recon_loss: 0.047309428453445435, dist_loss: 1.1024456024169922
recon_loss: 0.04725818336009979, dist_loss: 1.1229479312896729
recon_loss: 0.04720790684223175, dist_loss: 1.4956529140472412
recon_loss: 0.04715856537222862, dist_loss: 1.215285301208496
recon_loss: 0.0471101775765419, dist_loss: 0.8913007974624634
recon_loss: 0.047062668949365616, dist_loss: 1.0829689502716064
recon_loss: 0.04701605066657066, dist_loss: 1.4289005994796753
recon_loss: 0.04697027429938316, dist_loss: 1.4187191724777222
recon_loss: 0.046925317496061325, dist_loss: 0.8617624044418335
recon_loss: 0.04688113555312157, dist_loss: 1.3546011447906494
recon_loss: 0.04683777317404747, dist_loss: 1.0251927375793457
recon_loss: 0.04679505527019501, dist_loss: 1.1839262247085571
recon_loss: 0.04675300419330597, dist_loss: 1.1151078939437866
recon_loss: 0.046711646020412445, dist_loss: 0.7684165239334106
recon_loss: 0.04667102172970772, dist_loss: 0.9929754137992859
recon_loss: 0.04663120210170746, dist_loss: 1.2089242935180664
recon_loss: 0.04659200459718704, dist_loss: 1.4410653114318848
recon_loss: 0.04655338078737259, dist_loss: 0.8130654096603394
recon_loss: 0.04651546850800514, dist_loss: 1.2131872177124023
recon_loss: 0.04647819697856903, dist_loss: 1.212016224861145
recon_loss: 0.046441614627838135, dist_loss: 1.4194397926330566
recon_loss: 0.04640563577413559, dist_loss: 1.1685580015182495
recon_loss: 0.046370331197977066, dist_loss: 1.6386730670928955
recon_loss: 0.04633563756942749, dist_loss: 1.127114176750183
recon_loss: 0.046301547437906265, dist_loss: 0.6897592544555664
recon_loss: 0.04626812785863876, dist_loss: 1.3893898725509644
recon_loss: 0.046235233545303345, dist_loss: 1.55846107006073
recon_loss: 0.04620290547609329, dist_loss: 1.5820704698562622
recon_loss: 0.046171221882104874, dist_loss: 1.0246076583862305
recon_loss: 0.04614003747701645, dist_loss: 0.9214959144592285
recon_loss: 0.0461093969643116, dist_loss: 1.539726734161377
recon_loss: 0.04607921838760376, dist_loss: 1.5211150646209717
recon_loss: 0.04604951664805412, dist_loss: 1.0542073249816895
recon_loss: 0.04602032154798508, dist_loss: 1.3841569423675537
recon_loss: 0.045991651713848114, dist_loss: 0.9960291385650635
recon_loss: 0.045963436365127563, dist_loss: 1.0298503637313843
recon_loss: 0.045935675501823425, dist_loss: 1.636128544807434
recon_loss: 0.045908372849226, dist_loss: 0.9513887166976929
recon_loss: 0.045881472527980804, dist_loss: 1.2355077266693115
recon_loss: 0.04585498943924904, dist_loss: 1.1229183673858643
recon_loss: 0.045829031616449356, dist_loss: 1.6508091688156128
recon_loss: 0.04580342024564743, dist_loss: 1.063185214996338
recon_loss: 0.045778289437294006, dist_loss: 1.1025357246398926
recon_loss: 0.04575357586145401, dist_loss: 1.238934874534607
recon_loss: 0.0457293763756752, dist_loss: 0.8396470546722412
recon_loss: 0.04570559784770012, dist_loss: 1.0300331115722656
recon_loss: 0.04568222165107727, dist_loss: 1.3579721450805664
recon_loss: 0.04565911367535591, dist_loss: 0.9559414982795715
recon_loss: 0.04563644528388977, dist_loss: 1.2758311033248901
recon_loss: 0.04561404138803482, dist_loss: 1.2251050472259521
recon_loss: 0.04559199884533882, dist_loss: 1.2619930505752563
recon_loss: 0.04557036608457565, dist_loss: 1.1643309593200684
recon_loss: 0.04554913938045502, dist_loss: 1.4301345348358154
recon_loss: 0.045528262853622437, dist_loss: 1.3097243309020996
recon_loss: 0.04550773277878761, dist_loss: 1.004493236541748
recon_loss: 0.04548751935362816, dist_loss: 0.7134154438972473
Pre-train Epoch: 0
Train - Total Loss: 0.3371, Recon Loss: 0.1957, Dist Loss: 1.4139, l1 regularization: 0.0000
Val - Total Loss: 0.1655, Recon Loss: 0.0455, Dist Loss: 1.2005, l1 regularization: 0.0000
Pre-training Epoch 1:   0%|          | 0/367 [00:00<?, ?it/s]Pre-training Epoch 1:   4%|▍         | 15/367 [00:00<00:02, 146.75it/s]Pre-training Epoch 1:   8%|▊         | 31/367 [00:00<00:02, 153.37it/s]Pre-training Epoch 1:  13%|█▎        | 49/367 [00:00<00:01, 163.16it/s]Pre-training Epoch 1:  19%|█▉        | 69/367 [00:00<00:01, 174.45it/s]Pre-training Epoch 1:  24%|██▍       | 89/367 [00:00<00:01, 180.31it/s]Pre-training Epoch 1:  30%|██▉       | 109/367 [00:00<00:01, 184.62it/s]Pre-training Epoch 1:  35%|███▌      | 129/367 [00:00<00:01, 187.36it/s]recon_loss: 0.04546769708395004, dist_loss: 1.4454673528671265
recon_loss: 0.04544799029827118, dist_loss: 0.7967821359634399
recon_loss: 0.04542854055762291, dist_loss: 1.1471949815750122
recon_loss: 0.045409414917230606, dist_loss: 1.9437553882598877
recon_loss: 0.04539046064019203, dist_loss: 1.671619176864624
recon_loss: 0.045371830463409424, dist_loss: 1.047229290008545
recon_loss: 0.045353494584560394, dist_loss: 0.9789791107177734
recon_loss: 0.0453355573117733, dist_loss: 1.6213874816894531
recon_loss: 0.04531799629330635, dist_loss: 0.9569076299667358
recon_loss: 0.04530065506696701, dist_loss: 1.288766622543335
recon_loss: 0.04528366029262543, dist_loss: 1.1888868808746338
recon_loss: 0.04526699334383011, dist_loss: 1.5702767372131348
recon_loss: 0.045250579714775085, dist_loss: 1.787594199180603
